video_id,title,published_at,views,likes,comments,year,league,engagement_rate,snapshot_date
URB21unhhqs,Brittney Griner Records 29 PTS &amp; 12 REB To Even Semifinals Series,2018-09-03 00:15:24+00:00,4354,58,4,2018,WNBA,0.0142,2026-05-26T15:33:24.987933
fPX4UWhYhc4,Kristi Toliver&#39;s 22 PTS Paces Mystics To Even Series,2018-09-02 22:33:28+00:00,2375,47,2,2018,WNBA,0.0206,2026-05-26T15:33:24.987933
qfWnr5jld9Y,EDD Posts Double-Double In Game 4 Win,2018-09-02 22:30:05+00:00,1963,57,4,2018,WNBA,0.0311,2026-05-26T15:33:24.987933
_Qh1X6MUAno,Full Game Highlights | Mercury Protect Homecourt To Force Game 4,2018-09-02 18:57:52+00:00,2871,55,3,2018,WNBA,0.0202,2026-05-26T15:33:24.987933
_Hag7w2Kh8c,"Full Game Highlights | Hayes, Dream Capture Key G3 Win In D.C.",2018-09-02 18:57:35+00:00,643,13,0,2018,WNBA,0.0202,2026-05-26T15:33:24.987933
-GPabyTa5oo,"Best Of Bonner, Griner &amp; Turner&#39;s Game 3",2018-09-01 05:08:50+00:00,5163,117,6,2018,WNBA,0.0238,2026-05-26T15:33:24.987933
_9Z6hJv1cXU,Yvonne Turner Logs Playoffs Career-High vs. Storm,2018-09-01 05:03:49+00:00,2357,49,1,2018,WNBA,0.0212,2026-05-26T15:33:24.987933
Ox2aAB-xS5c,DeWanna Bonner Leads Phoenix Past Seattle In Game 3 Win,2018-09-01 04:53:27+00:00,1961,32,2,2018,WNBA,0.0173,2026-05-26T15:33:24.987933
bF-3hLrwTKk,Tiffany Hayes Pushes Atlanta Up 2-1,2018-09-01 03:05:15+00:00,1208,39,2,2018,WNBA,0.0339,2026-05-26T15:33:24.987933
vs9arFSu2vs,Full Game Highlights | Storm Prevail In Thrilling OT Game 2,2018-08-29 17:31:08+00:00,1865,43,7,2018,WNBA,0.0268,2026-05-26T15:33:24.987933
Gfu1cFT1ev8,Full Game Highlights | Dream Even Semis At One Game Apiece,2018-08-29 17:30:50+00:00,709,20,2,2018,WNBA,0.031,2026-05-26T15:33:24.987933
